,Player,Season,Age,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,MV_Change,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest,Performance_Prev_Season,Overvaluation,Overvaluation_x_Underperformance
14,Abdoulaye Bamba,2020,0.7395740941382024,-1.3702744932768969,-0.8009913627559879,-0.5458373030535345,-0.5967941862443882,-0.931395915612703,-1.176535441127547,-0.2231435513142098,29,0.74604008371198,0.8009913627559879,-0.74604008371198,0,0,0,0,0.0,0.0,0.0,0.0,-0.4737056294303025,-0.09573005864834314,-0.07667895013344701
15,Abdoulaye Bamba,2021,0.997597145637911,-0.4766919162154083,-0.5393536473889601,-0.9648374359795794,-0.5967941862443882,-1.1093276539783123,-1.5931636002019314,-0.5108256237659907,30,0.598319916322641,0.5393536473889601,-0.598319916322641,0,0,0,0,0.0,0.0,0.0,0.0,-0.8009913627559879,-0.3446384481840874,-0.18588200405855868
17,Achraf Hakimi,2019,-1.840656420858884,-0.0338445608747209,1.6882429442776834,1.214417503509028,-0.5967941862443882,-0.0553768993280522,1.0321438370346645,1.3862943611198908,19,-0.0934896595665597,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,1.122696227200923,-2.093567395439074,-0.0
18,Achraf Hakimi,2020,-1.582633369359175,1.0648225420697324,1.6085243165111278,1.4601981357821758,-0.5967941862443882,1.3733485790249838,1.511541237504194,0.1823215567939549,20,2.2090645844076904,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.6882429442776834,-0.325812031610476,-0.0
19,Achraf Hakimi,2021,-1.3246103178594664,1.0084806393546322,0.365867384463595,1.6895933925704791,1.6856756669185222,1.4573616710264476,1.5974730225114329,0.1823215567939544,21,0.5332011027959407,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.6085243165111278,-1.2070547058288597,-0.0
21,Adrián Marín,2019,-1.3246103178594664,-1.6677597396126258,-0.6336480629194224,-0.7067677720927685,-0.5967941862443882,-1.8399658544123072,-1.9238599742690763,0.0,21,1.1658907994862384,0.6336480629194224,-1.1658907994862384,0,0,0,0,0.0,0.0,0.0,0.0,-0.8177594285134235,-2.5247121641699786,-1.5997789722554099
22,Adrián Marín,2020,-1.0665872663597578,-1.0344767530949,-2.048284930516524,-1.2229070998663931,-0.5967941862443882,-1.8399658544123072,-2.093210144413564,-0.2076393647782445,22,3.7687743322576894,2.048284930516524,-3.7687743322576894,0,0,0,0,0.0,0.0,0.0,0.0,-0.6336480629194224,-2.488903763051509,-5.097984071364276
23,Adrián Marín,2021,-0.8085642148600493,-1.691423338752968,-1.107636411725245,-0.9648374359795816,-0.5967941862443882,-1.9464420338767368,-1.5931636002019314,0.538996500732687,23,2.155950070034417,1.107636411725245,-2.1559500700344167,0,0,0,0,0.0,0.0,0.0,0.0,-2.048284930516524,-1.8430450688161202,-2.041423826671395
25,Alberto Moreno,2019,-0.0344950603609234,-1.8210097149976985,0.5091017475940746,2.16886562550312,0.4303172476789214,0.090003916522604,0.0501864924835116,0.0,26,0.0458211511919689,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.6823864363008104,-0.7601287513427792,-0.0
26,Alberto Moreno,2020,0.2235279911387852,-0.3369639974819599,0.1137132557620791,0.2149095989315514,-0.5967941862443882,-0.0553768993280522,-0.2805098815836335,-0.2231435513142097,27,-0.0062970875166017,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.5091017475940746,-0.07130334831019543,-0.0
27,Alberto Moreno,2021,0.4815510426384938,-1.7770630308799202,-1.3420112105085336,0.2886437886134979,-0.5967941862443882,-0.3786894535443177,-0.9945400934627866,-0.6931471805599452,28,0.5082054919578249,1.3420112105085336,-0.5082054919578249,1,0,0,0,1.3420112105085336,0.0,0.0,0.0,0.1137132557620791,0.28868161564899514,0.3874139644686672
