Player,Season,Age,MP,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest
Abdoulaye Bamba,2018,0.2235279911387852,-0.6582250346526614,-0.2671000381152356,-0.9586728408845407,-0.6699006772517949,-0.5967941862443882,-1.6620341160466978,0.0,0.0,27,1.5933469676775145,0.9586728408845407,-1.5933469676775143,0,0,0,0,0.0,0.0,0.0,0.0
Abdoulaye Bamba,2019,0.4815510426384938,0.6185854921537687,0.904811538358848,-0.4737056294303025,-0.4855652030469321,-0.5967941862443882,-1.6620341160466978,1.0986122886681098,1.0986122886681098,28,0.7873149170765373,0.4737056294303025,-0.7873149170765373,0,0,0,0,0.0,0.0,0.0,0.0
Abdoulaye Bamba,2020,0.7395740941382024,-1.8286346842252224,-1.3702744932768969,-0.8009913627559879,-0.5458373030535345,-0.5967941862443882,-0.931395915612703,0.6931471805599453,-0.2231435513142098,29,0.74604008371198,0.8009913627559879,-0.74604008371198,0,0,0,0,0.0,0.0,0.0,0.0
Abdoulaye Bamba,2021,0.997597145637911,-0.8710267891203998,-0.4766919162154083,-0.5393536473889601,-0.9648374359795794,-0.5967941862443882,-1.1093276539783123,0.1823215567939546,-0.5108256237659907,30,0.598319916322641,0.5393536473889601,-0.598319916322641,0,0,0,0,0.0,0.0,0.0,0.0
Achraf Hakimi,2018,-2.0986794723585924,-1.6158329297574838,-1.1403995301992882,1.122696227200923,1.5421250132065814,-0.5967941862443882,-2.622066224332812,1.6094379124341005,2.8134107167600364,18,-2.943783857529417,0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0
Achraf Hakimi,2019,-1.840656420858884,-0.3390224029510538,-0.0338445608747209,1.6882429442776834,1.214417503509028,-0.5967941862443882,-0.0553768993280522,3.4011973816621555,1.3862943611198908,19,-0.0934896595665597,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0
Achraf Hakimi,2020,-1.582633369359175,0.9377881238553762,1.0648225420697324,1.6085243165111278,1.4601981357821758,-0.5967941862443882,1.3733485790249838,3.9889840465642745,0.1823215567939549,20,2.2090645844076904,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
Achraf Hakimi,2021,-1.3246103178594664,1.3633916327908528,1.0084806393546322,0.365867384463595,1.6895933925704791,1.6856756669185222,1.4573616710264476,4.0943445622221,0.1823215567939544,21,0.5332011027959407,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
Adrián Marín,2018,-1.582633369359175,-2.254238193160699,-1.73198950870784,-0.8177594285134235,-0.0431600649552559,-0.5967941862443882,-1.6620341160466978,0.0,0.0,20,1.3591440689081606,0.8177594285134235,-1.3591440689081606,0,0,0,0,0.0,0.0,0.0,0.0
Adrián Marín,2019,-1.3246103178594664,-1.9350355614590915,-1.6677597396126258,-0.6336480629194224,-0.7067677720927685,-0.5967941862443882,-1.8399658544123072,-0.2231435513142097,0.0,21,1.1658907994862384,0.6336480629194224,-1.1658907994862384,0,0,0,0,0.0,0.0,0.0,0.0
Adrián Marín,2020,-1.0665872663597578,-1.2966302980558764,-1.0344767530949,-2.048284930516524,-1.2229070998663931,-0.5967941862443882,-1.8399658544123072,-0.4307829160924542,-0.2076393647782445,22,3.7687743322576894,2.048284930516524,-3.7687743322576894,0,0,0,0,0.0,0.0,0.0,0.0
Adrián Marín,2021,-0.8085642148600493,-1.6158329297574838,-1.691423338752968,-1.107636411725245,-0.9648374359795816,-0.5967941862443882,-1.9464420338767368,0.1823215567939546,0.538996500732687,23,2.155950070034417,1.107636411725245,-2.1559500700344167,0,0,0,0,0.0,0.0,0.0,0.0
Alberto Moreno,2018,-0.292518111860632,-0.8710267891203998,-0.5679657986138705,0.6823864363008104,1.39465663384269,0.4303172476789214,0.1740170085240678,2.302585092994046,0.0,25,0.1187468463024663,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0
Alberto Moreno,2019,-0.0344950603609234,-2.3606390703945683,-1.8210097149976985,0.5091017475940746,2.16886562550312,0.4303172476789214,0.090003916522604,2.19722457733622,0.0,26,0.0458211511919689,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0
Alberto Moreno,2020,0.2235279911387852,-0.6582250346526614,-0.3369639974819599,0.1137132557620791,0.2149095989315514,-0.5967941862443882,-0.0553768993280522,1.791759469228055,-0.2231435513142097,27,-0.0062970875166017,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0
Alberto Moreno,2021,0.4815510426384938,-2.0414364386929607,-1.7770630308799202,-1.3420112105085336,0.2886437886134979,-0.5967941862443882,-0.3786894535443177,0.9162907318741552,-0.6931471805599452,28,0.5082054919578249,1.3420112105085336,-0.5082054919578249,1,0,0,0,1.3420112105085336,0.0,0.0,0.0
Aleix Vidal,2018,0.2235279911387852,-0.9774276663542688,-1.4671825659468694,0.4557476219829264,2.2794669100260387,0.3732555013498487,-0.0553768993280522,2.0149030205422647,0.0,27,-0.0252378901815477,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0
Aleix Vidal,2019,0.4815510426384938,-1.4030311752897455,-1.3995722826887491,0.4035957456607759,0.251776693772527,-0.0661199453840115,-0.3786894535443177,1.3862943611198906,-0.2231435513142097,28,-0.1528374523770906,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0
Aleix Vidal,2020,0.7395740941382024,0.5121846149198995,0.4450616122036305,-1.8507672906120536,-1.2229070998663931,-0.0661199453840115,-0.4627025455457813,1.252762968495368,-0.2513144282809061,29,0.8563547365790661,1.8507672906120536,-0.8563547365790659,1,0,0,0,1.8507672906120536,0.0,0.0,0.0
