Player,Season,Age,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,MV_Change,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest,Future_Performance,Expected_Future_Performance,Expected_Future_Performance_Log_MV1
Alberto Moreno,2020,0.2235279911387852,-0.3369639974819599,0.1137132557620791,0.2149095989315514,-0.5967941862443882,-0.0553768993280522,-0.2805098815836335,-0.2231435513142097,27,-0.0062970875166017,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,-1.3420112105085336,-0.012116436261986125,0.0006709706710947667
Aleix Vidal,2018,0.2235279911387852,-1.4671825659468694,0.4557476219829264,2.2794669100260387,0.3732555013498487,-0.0553768993280522,-0.0985145339188731,0.0,27,-0.0252378901815477,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.4035957456607759,0.4341001449578072,-0.024039120025621353
Aleix Vidal,2019,0.4815510426384938,-1.3995722826887491,0.4035957456607759,0.251776693772527,-0.0661199453840115,-0.3786894535443177,-0.6112062556507785,-0.2231435513142097,28,-0.1528374523770906,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0,-1.8507672906120536,0.033066712600035485,-0.012522015325014443
Aleix Vidal,2020,0.7395740941382024,0.4450616122036305,-1.8507672906120536,-1.2229070998663931,-0.0661199453840115,-0.4627025455457813,-0.7201141406500616,-0.2513144282809061,29,0.8563547365790661,1.8507672906120536,-0.8563547365790659,1,0,0,0,1.8507672906120536,0.0,0.0,0.0,1.511478446014758,-0.8747509884252497,0.4047495090630513
Aleksandar Kolarov,2018,1.2556201971376195,1.4535816708039235,0.790285818063145,0.915384400910053,-0.3114854545990244,0.1740170085240678,0.2848193038931352,0.1823215567939544,31,0.1375231739383442,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.5619901142668866,0.4628605188226056,0.0805456028494078
Aleksandar Kolarov,2019,1.513643248637328,1.280048610441415,0.5619901142668866,0.3623779782954439,-0.3114854545990244,0.3193978243747237,-0.0458770701740098,-0.4054651081081646,32,0.1794984198169459,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1.0401132340251162,0.25888682836076754,0.08268788973770166
Aleksandar Kolarov,2020,1.7716663001370367,1.0839787889928665,1.0401132340251162,0.6573147370232315,-0.3114854545990244,-0.0039147298415419,-0.2152272403184974,-0.2076393647782444,33,-0.0040717623158208,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.7742476238127879,0.4310773491325378,-0.001687551362661922
Alessandro Florenzi,2018,-0.0344950603609234,0.6952196602586752,0.0532408864417509,0.915384400910053,-0.5251499936312192,0.7267234705924528,1.0321438370346645,0.4054651081081646,26,0.0386914017723678,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,-0.1335914560780516,0.2852346853139296,0.20728674044468504
Alessandro Florenzi,2019,0.2235279911387852,0.4619641830181605,-0.1335914560780516,0.3623779782954439,-0.5251499936312192,1.0500360248087186,0.8834428106322797,-0.1823215567939549,27,-0.1402758414886058,0.1335914560780516,0.1402758414886058,0,0,0,1,0.0,0.0,0.0,0.1335914560780516,-0.9197041360530795,0.11863922621490794,0.12457546148108425
Alessandro Florenzi,2020,0.4815510426384938,-0.8710852352211095,-0.9197041360530795,0.6573147370232315,-0.5251499936312192,0.7267234705924528,0.5194521153027589,-0.2231435513142097,28,-0.6683705816707274,0.9197041360530795,0.6683705816707274,0,0,1,0,0.0,0.0,0.9197041360530795,0.0,-0.3591506143261035,-0.17585202479037784,-0.12779579376637343
Alex Sandro,2018,-0.0344950603609234,0.3909733855971343,1.922527560175477,1.984530151298269,0.8868112183115034,1.172953753196408,1.3628402111018092,0.2513144282809061,26,2.2550359173313588,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.0732992457521346,1.1354873285643887,1.3318741237465628
Alex Sandro,2019,0.2235279911387852,0.6952196602586752,1.0732992457521346,1.1734540647968477,0.8868112183115034,1.4573616710264476,1.3628402111018092,-0.1053605156578263,27,1.5641851823007569,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.8990754522677751,0.7525775443601979,1.0967776676257586
Alex Sandro,2020,0.4815510426384938,0.6929659841500713,0.8990754522677751,0.9153844009100408,0.8868112183115034,1.4573616710264476,1.2667766484442882,-0.2231435513142097,28,1.310278103495824,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.8430625843545592,0.6477136247781896,0.9439530105533399
Alfonso Pedraza,2018,-1.3246103178594664,0.7549420771366815,-1.4702946781600237,-0.6699006772517961,-0.5967941862443882,-1.6620341160466978,-0.4292109079860181,1.6094379124341005,21,2.4436799157438585,1.4702946781600237,-2.443679915743859,0,0,0,0,0.0,0.0,0.0,0.0,-0.6743096527154175,-0.6656312575418654,1.106301858741646
Alfonso Pedraza,2019,-1.0665872663597578,0.3661829484024902,-0.6743096527154175,-0.4118310133649849,-0.5967941862443882,-0.0553768993280522,0.7791822180492558,1.0761394328160514,22,0.0373411777543555,0.6743096527154175,-0.0373411777543555,0,1,0,0,0.0,0.6743096527154175,0.0,0.0,-0.1850755722320765,-0.20752409521087017,0.011492040928637476
Alfonso Pedraza,2020,-0.8085642148600493,-0.4744382401068042,-0.1850755722320765,-0.7436348669337446,-0.5967941862443882,0.6202472911280231,0.0942835890583332,-0.6109090823229733,23,-0.1147926223309142,0.1850755722320765,0.1147926223309142,0,0,1,0,0.0,0.0,0.1850755722320765,0.0,-0.1963455486173304,-0.21541566168236964,-0.13361098062504045
