Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Allan Nyom,West Brom,29,Cameroon,2017/2018,4500000.0,4500000.0,Wing-Back,eng Premier League,29,25,2310.0,25.7,-0.9800906991412986,-0.7421800683177012,0.18602921298033864,0.11601072470238692,-0.40286092980845767
Allan Nyom,Leganés,30,Cameroon,2018/2019,3500000.0,3000000.0,Wing-Back,es La Liga,23,20,1708.0,19.0,-0.14418616080035043,-0.878428046483747,-0.016919994332102006,0.3508085493189082,-0.23370400294538674
Allan Nyom,Getafe,31,Cameroon,2019/2020,3500000.0,3200000.0,Wing-Back,es La Liga,34,31,2422.0,26.9,-0.11177197561507624,-1.564918243901385,-0.2984671006525187,-0.2447549415693136,-0.5537001330451821
Allan Nyom,Getafe,32,Cameroon,2020/2021,2500000.0,2000000.0,Wing-Back,es La Liga,31,28,2323.0,25.8,-0.26939701477183836,-1.6369040987675505,0.09869442688547148,0.045309425357771896,-0.4509711371777469
Almamy Touré,Monaco,21,Mali,2017/2018,4000000.0,8000000.0,Wing-Back,fr Ligue 1,20,13,1248.0,13.9,0.4183394890623471,-0.5258294545091118,-0.13228979003250957,-0.20169169246031574,-0.07242611266598374
Almamy Touré,Eint Frankfurt,22,Mali,2018/2019,8000000.0,6500000.0,Wing-Back,de Bundesliga,7,6,519.0,5.8,-0.4328709467142846,-0.10719541708769183,1.1951503499241944,-0.5120182540515328,0.21044065878210644
Almamy Touré,Eint Frankfurt,23,Mali,2019/2020,6500000.0,6500000.0,Wing-Back,de Bundesliga,19,18,1491.0,16.6,0.522451632477284,-1.1879175342802792,0.8762951652061102,-0.5166776650216672,0.1147916474930872
Almamy Touré,Eint Frankfurt,24,Mali,2020/2021,5500000.0,5500000.0,Wing-Back,de Bundesliga,17,8,704.0,7.8,0.9569933469504687,-1.4567361788149995,0.5651926878856507,0.5557239121812338,0.1763037913594918
Ambroise Oyongo,Montpellier,26,Cameroon,2017/2018,750000.0,750000.0,Wing-Back,fr Ligue 1,3,3,201.0,2.2,-0.27121982176481024,-0.9403516128400178,-1.3097286704364604,0.40677107840685334,-0.7341817765515233
Ambroise Oyongo,Montpellier,27,Cameroon,2018/2019,1500000.0,4000000.0,Wing-Back,fr Ligue 1,26,25,2136.0,23.7,0.15329300367660562,-0.8932887234506435,-0.8008891472465522,0.303254724131842,-0.4273200088827882
