ID,Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,GA,GA/90,SoTA,SoTA/90,PSxG-GA,PSxG-GA/90,Save%,CS%,CrossAtt,CrossAtt/90,CrossStop%,PKAtt,PKAtt/90,PKSave%,ActOutPA,ActOutPA/90,SPassAtt,SPassAtt/90,SPassCmp,SPassCmp/90,LPassAtt,LPassAtt/90,LPassCmp,LPassCmp/90,SPass%,LPass%,PPM,On-Off
182906,Mike Maignan,Lille,23,France,2019/2020,22000000,17500000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,27.0,0.96,78.0,2.7857142857142856,0.2,0.01,70.5,42.9,200.0,7.142857142857143,11.5,4.0,0.14285714285714285,20.0,9.0,0.32,182.0,6.5,182.0,6.5,496.0,17.714285714285715,227.0,8.107142857142858,100.0,45.8,1.75,
182906,Mike Maignan,Lille,24,France,2020/2021,20000000,25000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,23.0,0.61,107.0,2.8157894736842106,4.8,0.13,79.4,55.3,286.0,7.526315789473684,8.0,1.0,0.02631578947368421,50.0,26.0,0.68,375.0,9.868421052631579,372.0,9.789473684210526,521.0,13.710526315789474,232.0,6.105263157894737,99.2,44.5,2.18,
111819,Neto,Valencia,28,Brazil,2017/2018,6000000,15000000,Goalkeeper,es La Liga,33,33,2970.0,33.0,33.0,1.0,150.0,4.545454545454546,11.2,0.34,80.0,30.3,353.0,10.696969696969697,7.6,3.0,0.09090909090909091,40.0,6.0,0.18,121.0,3.6666666666666665,116.0,3.515151515151515,414.0,12.545454545454545,166.0,5.03030303030303,95.9,40.1,1.85,0.13
111819,Neto,Valencia,29,Brazil,2018/2019,18000000,18000000,Goalkeeper,es La Liga,34,34,3060.0,34.0,34.0,1.0,134.0,3.9411764705882355,5.7,0.17,79.9,29.4,389.0,11.441176470588236,7.2,7.0,0.20588235294117646,12.5,11.0,0.32,191.0,5.617647058823529,187.0,5.5,596.0,17.529411764705884,252.0,7.411764705882353,97.9,42.3,1.56,-0.65
111819,Neto,Barcelona,30,Brazil,2019/2020,18000000,14500000,Goalkeeper,es La Liga,2,2,180.0,2.0,2.0,1.0,3.0,1.5,-0.5,-0.25,33.3,50.0,13.0,6.5,0.0,0.0,0.0,,1.0,0.5,30.0,15.0,30.0,15.0,13.0,6.5,7.0,3.5,100.0,53.8,2.0,1.31
111819,Neto,Barcelona,31,Brazil,2020/2021,10000000,6000000,Goalkeeper,es La Liga,7,7,630.0,7.0,6.0,0.86,21.0,3.0,0.7,0.1,81.0,42.9,64.0,9.142857142857142,6.3,2.0,0.2857142857142857,0.0,4.0,0.57,106.0,15.142857142857142,105.0,15.0,75.0,10.714285714285714,48.0,6.857142857142857,99.1,64.0,1.57,-0.64
55089,Oliver Baumann,Hoffenheim,27,Germany,2017/2018,7000000,10000000,Goalkeeper,de Bundesliga,34,34,3060.0,34.0,48.0,1.41,146.0,4.294117647058823,-3.8,-0.11,69.2,29.4,311.0,9.147058823529411,6.4,3.0,0.08823529411764706,25.0,37.0,1.09,427.0,12.558823529411764,417.0,12.264705882352942,745.0,21.91176470588235,329.0,9.676470588235293,97.7,44.2,1.62,
55089,Oliver Baumann,Hoffenheim,28,Germany,2018/2019,10000000,8000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,51.0,1.55,159.0,4.818181818181818,2.5,0.08,71.7,15.2,298.0,9.030303030303031,8.4,6.0,0.18181818181818182,14.3,44.0,1.33,435.0,13.181818181818182,426.0,12.909090909090908,599.0,18.151515151515152,338.0,10.242424242424242,97.9,56.4,1.45,-1.52
55089,Oliver Baumann,Hoffenheim,29,Germany,2019/2020,7000000,5500000,Goalkeeper,de Bundesliga,30,30,2700.0,30.0,49.0,1.63,143.0,4.766666666666667,-4.7,-0.16,69.2,23.3,308.0,10.266666666666667,5.2,5.0,0.16666666666666666,28.6,33.0,1.1,453.0,15.1,447.0,14.9,545.0,18.166666666666668,260.0,8.666666666666666,98.7,47.7,1.53,-0.57
55089,Oliver Baumann,Hoffenheim,30,Germany,2020/2021,5500000,5000000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,51.0,1.65,126.0,4.064516129032258,-0.9,-0.03,64.3,19.4,272.0,8.774193548387096,4.0,6.0,0.1935483870967742,25.0,36.0,1.16,454.0,14.64516129032258,448.0,14.451612903225806,584.0,18.838709677419356,304.0,9.806451612903226,98.7,52.1,1.23,-0.43
286415,Pau López,Espanyol,22,Spain,2017/2018,1500000,5000000,Goalkeeper,es La Liga,28,27,2478.0,27.5,31.0,1.13,128.0,4.654545454545454,9.4,0.33,78.1,33.3,281.0,10.218181818181819,11.7,3.0,0.10909090909090909,25.0,16.0,0.56,140.0,5.090909090909091,134.0,4.872727272727273,460.0,16.727272727272727,183.0,6.654545454545454,95.7,39.8,1.24,-0.35
286415,Pau López,Betis,23,Spain,2018/2019,10000000,20000000,Goalkeeper,es La Liga,33,33,2970.0,33.0,47.0,1.42,135.0,4.090909090909091,-2.5,-0.08,67.4,30.3,258.0,7.818181818181818,9.3,3.0,0.09090909090909091,25.0,33.0,1.0,540.0,16.363636363636363,532.0,16.12121212121212,469.0,14.212121212121213,249.0,7.545454545454546,98.5,53.1,1.3,-0.01
286415,Pau López,Roma,24,Spain,2019/2020,24000000,19000000,Goalkeeper,it Serie A,32,32,2880.0,32.0,45.0,1.41,122.0,3.8125,-2.5,-0.08,69.7,15.6,238.0,7.4375,6.3,8.0,0.25,11.1,24.0,0.75,371.0,11.59375,363.0,11.34375,521.0,16.28125,307.0,9.59375,97.8,58.9,1.88,0.42
286415,Pau López,Roma,25,Spain,2020/2021,17000000,10000000,Goalkeeper,it Serie A,21,20,1817.0,20.2,29.0,1.44,81.0,4.00990099009901,0.7,0.04,67.9,20.0,115.0,5.693069306930694,7.0,3.0,0.1485148514851485,0.0,16.0,0.79,266.0,13.16831683168317,264.0,13.06930693069307,289.0,14.306930693069308,161.0,7.97029702970297,99.2,55.7,1.76,0.28
195488,Paulo Gazzaniga,Tottenham,25,Argentina,2017/2018,1000000,1000000,Goalkeeper,eng Premier League,1,1,90.0,1.0,0.0,0.0,3.0,3.0,1.3,1.25,100.0,100.0,0.0,0.0,,0.0,0.0,,2.0,2.0,10.0,10.0,10.0,10.0,14.0,14.0,9.0,9.0,100.0,64.3,3.0,0.0
195488,Paulo Gazzaniga,Tottenham,26,Argentina,2018/2019,2000000,2000000,Goalkeeper,eng Premier League,3,3,270.0,3.0,2.0,0.67,13.0,4.333333333333333,2.7,0.9,84.6,33.3,36.0,12.0,5.6,0.0,0.0,,1.0,0.33,37.0,12.333333333333334,36.0,12.0,55.0,18.333333333333332,22.0,7.333333333333333,97.3,40.0,2.0,-0.08
195488,Paulo Gazzaniga,Tottenham,27,Argentina,2019/2020,3500000,2800000,Goalkeeper,eng Premier League,18,17,1613.0,17.9,26.0,1.45,79.0,4.41340782122905,0.4,0.02,70.9,11.8,168.0,9.385474860335195,5.4,3.0,0.1675977653631285,25.0,12.0,0.67,139.0,7.765363128491621,138.0,7.709497206703912,304.0,16.98324022346369,109.0,6.089385474860336,99.3,35.9,1.11,-0.8
195488,Paulo Gazzaniga,Elche,28,Argentina,2020/2021,4000000,3000000,Goalkeeper,es La Liga,8,8,720.0,8.0,9.0,1.13,21.0,2.625,-0.5,-0.06,61.9,25.0,59.0,7.375,8.5,1.0,0.125,0.0,1.0,0.13,48.0,6.0,48.0,6.0,176.0,22.0,74.0,9.25,100.0,42.0,1.25,0.38
7825,Pepe Reina,Napoli,34,Spain,2017/2018,2000000,1000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,29.0,0.78,98.0,2.6486486486486487,-2.9,-0.08,72.4,48.6,223.0,6.027027027027027,4.5,2.0,0.05405405405405406,0.0,31.0,0.84,441.0,11.91891891891892,435.0,11.756756756756756,540.0,14.594594594594595,345.0,9.324324324324325,98.6,63.9,2.43,1.3
7825,Pepe Reina,Milan,35,Spain,2018/2019,1000000,1000000,Goalkeeper,it Serie A,4,2,330.0,3.7,5.0,1.37,12.0,3.243243243243243,-0.5,-0.15,66.7,50.0,36.0,9.72972972972973,11.1,1.0,0.27027027027027023,0.0,2.0,0.55,40.0,10.81081081081081,39.0,10.54054054054054,68.0,18.37837837837838,39.0,10.54054054054054,97.5,57.4,1.75,-0.55
7825,Pepe Reina,Aston Villa,36,Spain,2019/2020,800000,650000,Goalkeeper,eng Premier League,12,12,1080.0,12.0,20.0,1.67,50.0,4.166666666666667,0.6,0.55,64.0,16.7,11.0,0.9166666666666666,18.2,2.0,0.16666666666666666,33.3,2.0,2.0,98.0,8.166666666666666,97.0,8.083333333333334,269.0,22.416666666666668,148.0,12.333333333333334,99.0,55.0,1.0,-0.1
7825,Pepe Reina,Lazio,37,Spain,2020/2021,800000,800000,Goalkeeper,it Serie A,29,29,2610.0,29.0,41.0,1.41,107.0,3.689655172413793,-2.7,-0.09,69.2,31.0,218.0,7.517241379310345,5.0,8.0,0.27586206896551724,0.0,12.0,0.41,398.0,13.724137931034482,393.0,13.551724137931034,558.0,19.24137931034483,357.0,12.310344827586206,98.7,64.0,1.97,1.08
244192,Pierluigi Gollini,Atalanta,22,Italy,2017/2018,4000000,3500000,Goalkeeper,it Serie A,7,7,622.0,6.9,4.0,0.58,17.0,2.463768115942029,1.3,0.19,76.5,42.9,51.0,7.391304347826087,3.9,0.0,0.0,,5.0,0.72,75.0,10.869565217391305,74.0,10.72463768115942,90.0,13.043478260869565,65.0,9.420289855072463,98.7,72.2,1.57,0.66
244192,Pierluigi Gollini,Atalanta,23,Italy,2018/2019,3500000,6000000,Goalkeeper,it Serie A,20,20,1799.0,20.0,21.0,1.05,68.0,3.4,-2.0,-0.1,73.5,20.0,153.0,7.65,5.2,3.0,0.15,0.0,17.0,0.85,175.0,8.75,169.0,8.45,352.0,17.6,177.0,8.85,96.6,50.3,1.95,0.28
244192,Pierluigi Gollini,Atalanta,24,Italy,2019/2020,8000000,13000000,Goalkeeper,it Serie A,33,33,2884.0,32.0,42.0,1.31,113.0,3.53125,-4.4,-0.14,68.1,24.2,207.0,6.46875,7.2,6.0,0.1875,0.0,37.0,1.15,303.0,9.46875,299.0,9.34375,570.0,17.8125,331.0,10.34375,98.7,58.1,2.0,-0.63
244192,Pierluigi Gollini,Atalanta,25,Italy,2020/2021,17000000,17000000,Goalkeeper,it Serie A,25,25,2156.0,24.0,26.0,1.09,61.0,2.5416666666666665,-0.3,-0.01,63.9,36.0,135.0,5.625,5.2,4.0,0.16666666666666666,33.3,23.0,0.96,226.0,9.416666666666666,222.0,9.25,381.0,15.875,223.0,9.291666666666666,98.2,58.5,2.0,0.21
57071,Péter Gulácsi,RB Leipzig,27,Hungary,2017/2018,3000000,8000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,52.0,1.58,143.0,4.333333333333333,-1.1,-0.03,67.1,18.2,278.0,8.424242424242424,8.6,5.0,0.15151515151515152,0.0,32.0,0.97,345.0,10.454545454545455,342.0,10.363636363636363,641.0,19.424242424242426,308.0,9.333333333333334,99.1,48.0,1.61,1.15
57071,Péter Gulácsi,RB Leipzig,28,Hungary,2018/2019,10000000,12000000,Goalkeeper,de Bundesliga,33,33,2925.0,32.5,28.0,0.86,108.0,3.3230769230769233,6.1,0.19,77.8,48.5,242.0,7.446153846153846,6.2,4.0,0.12307692307692308,0.0,42.0,1.29,230.0,7.076923076923077,228.0,7.015384615384615,716.0,22.03076923076923,345.0,10.615384615384615,99.1,48.2,2.0,0.35
57071,Péter Gulácsi,RB Leipzig,29,Hungary,2019/2020,12000000,9500000,Goalkeeper,de Bundesliga,32,32,2880.0,32.0,34.0,1.06,117.0,3.65625,3.6,0.11,72.6,31.3,243.0,7.59375,7.8,2.0,0.0625,0.0,48.0,1.5,529.0,16.53125,520.0,16.25,555.0,17.34375,312.0,9.75,98.3,56.2,1.88,0.31
57071,Péter Gulácsi,RB Leipzig,30,Hungary,2020/2021,11000000,13000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,30.0,0.91,77.0,2.3333333333333335,-5.5,-0.17,64.9,45.5,186.0,5.636363636363637,6.5,3.0,0.09090909090909091,0.0,53.0,1.61,514.0,15.575757575757576,512.0,15.515151515151516,434.0,13.151515151515152,282.0,8.545454545454545,99.6,65.0,1.97,1.88
