Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating
Alfonso Pedraza,Villarreal,24,Spain,2020/2021,10000000.0,20000000.0,Wing-Back,es La Liga,29,24,2093.0,23.3,-0.0795034681231279,0.4000000000000002
Allan Nyom,West Brom,29,Cameroon,2017/2018,4500000.0,4500000.0,Wing-Back,eng Premier League,29,25,2310.0,25.7,-0.4028609298084576,-0.624999999999996
Allan Nyom,Leganes,30,Cameroon,2018/2019,3500000.0,3000000.0,Wing-Back,es La Liga,23,20,1708.0,19.0,-0.2337040029453867,-0.1499999999999982
Allan Nyom,Getafe,31,Cameroon,2019/2020,3500000.0,3200000.0,Wing-Back,es La Liga,34,31,2422.0,26.9,-0.5537001330451821,0.1500000000000001
Allan Nyom,Getafe,32,Cameroon,2020/2021,2500000.0,2000000.0,Wing-Back,es La Liga,31,28,2323.0,25.8,-0.4509711371777469,-0.3750000000000001
Almamy Touré,Monaco,21,Mali,2017/2018,4000000.0,8000000.0,Wing-Back,fr Ligue 1,20,13,1248.0,13.9,-0.0724261126659837,1.0000000000000029
Almamy Touré,Ein Frankfurt,22,Mali,2018/2019,8000000.0,6500000.0,Wing-Back,de Bundesliga,7,6,519.0,5.8,0.2104406587821064,0.3333333333333266
Almamy Touré,Ein Frankfurt,23,Mali,2019/2020,6500000.0,6500000.0,Wing-Back,de Bundesliga,19,18,1491.0,16.6,0.1147916474930872,-0.0277777777777885
Almamy Touré,Ein Frankfurt,24,Mali,2020/2021,5500000.0,5500000.0,Wing-Back,de Bundesliga,17,8,704.0,7.8,0.1763037913594918,0.4444444444444388
Ambroise Oyongo,Montpellier,26,Cameroon,2017/2018,750000.0,750000.0,Wing-Back,fr Ligue 1,3,3,201.0,2.2,-0.7341817765515233,0.0750000000000027
Ambroise Oyongo,Montpellier,27,Cameroon,2018/2019,1500000.0,4000000.0,Wing-Back,fr Ligue 1,26,25,2136.0,23.7,-0.4273200088827882,0.2750000000000013
