Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index,Team_Rating
Antonio Mirante,Roma,37,Italy,2020/2021,650000,1000000,Goalkeeper,it Serie A,13,13,1153.0,12.8,0.1247995109422635,-0.7247111973440163,0.6366256412550946,0.2280435594363232,-0.0290860971056177,0.3250000000000075
Baptiste Reynet,Dijon,26,France,2017/2018,3000000,5000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,0.4665611436064273,0.0787894785367513,2.0702163204500645,-1.350034864176677,0.4592654538754843,-0.449999999999997
Baptiste Reynet,Toulouse,27,France,2018/2019,5000000,5000000,Goalkeeper,fr Ligue 1,31,31,2704.0,30.0,0.1717278183860951,-0.0130197430531811,1.1435108632750628,-1.0490580967329466,0.1668940458367341,-0.5499999999999986
Baptiste Reynet,Toulouse,28,France,2019/2020,4000000,2400000,Goalkeeper,fr Ligue 1,23,22,2035.0,22.6,0.2977270500390822,-1.1739754165170633,1.153040228237982,-1.883936408970908,-0.3307900375573422,-1.2228949237376128
Baptiste Reynet,Nimes,29,France,2020/2021,2500000,2000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,0.4160450347000002,-0.2009413657420002,0.7841470396754578,-1.4431910349698445,0.0132398853386877,-0.7749999999999964
Bartłomiej Drągowski,Fiorentina,19,Poland,2017/2018,3000000,2000000,Goalkeeper,it Serie A,3,1,217.0,2.4,-0.5682671084059501,0.0570557793442608,-1.6822793596233427,-2.7925435777869168,-0.9615486309048694,0.2000000000000117
Bartłomiej Drągowski,Empoli,20,Poland,2018/2019,1500000,10000000,Goalkeeper,it Serie A,14,14,1260.0,14.0,0.0992037916572803,1.658088114590921,1.250668227611586,-0.983482768051061,0.7702764297163797,-0.4749999999999997
Bartłomiej Drągowski,Fiorentina,21,Poland,2019/2020,14000000,11000000,Goalkeeper,it Serie A,31,31,2790.0,31.0,-0.7146029004645053,0.0517562598636342,0.3653708842071396,-0.4488475212584867,-0.1365204413008424,0.075000000000002
Bartłomiej Drągowski,Fiorentina,22,Poland,2020/2021,15000000,16000000,Goalkeeper,it Serie A,36,36,3148.0,35.0,-0.7413158809269277,-1.0877972284409068,0.6244138271657114,-0.441836059109222,-0.4762299522610047,-0.2999999999999929
Benjamin Lecomte,Montpellier,26,France,2017/2018,2500000,6000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.592089515003399,0.32231312623006,0.5529811250819955,0.7090451424101307,0.2093892680616897,0.0750000000000027
Benjamin Lecomte,Montpellier,27,France,2018/2019,8000000,17000000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,0.2273717076676804,-0.2271007215525416,0.9430345989940492,0.122018292996431,0.2314190680715075,0.2750000000000013
Benjamin Lecomte,Monaco,28,France,2019/2020,14000000,11000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,0.0680064067336309,0.4231361004949866,0.4199373307818274,-0.6496637838413964,0.1726340019759004,0.013668006147627
Benjamin Lecomte,Monaco,29,France,2020/2021,11000000,10000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,0.2600296655252353,-2.0685173764513345,-0.2153103369441705,1.2965655572406092,-0.5183164160266095,0.8500000000000025
Benoît Costil,Bordeaux,30,France,2017/2018,7500000,6500000,Goalkeeper,fr Ligue 1,36,36,3240.0,36.0,-0.6089697652525796,-1.293785064611365,1.197971907629987,0.5204498532107338,-0.2275067590380158,0.1250000000000027
Benoît Costil,Bordeaux,31,France,2018/2019,6500000,5500000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,-0.2147758931360773,0.4448616069648273,0.0902290662220243,-0.2882201689298073,0.0813318303697052,-0.199999999999999
Benoît Costil,Bordeaux,32,France,2019/2020,5000000,4000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,-0.0773386830173184,-0.3791880431130267,0.4111262666029839,-0.1275036416363228,-0.0683944654385913,0.2540642288263319
Benoît Costil,Bordeaux,33,France,2020/2021,3500000,2800000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.1094682059755374,-0.6318922274907209,0.4033032014272368,-0.2638528473958149,-0.1872814578681997,-0.3499999999999975
Bernd Leno,Leverkusen,25,Germany,2017/2018,16000000,20000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.5754406535260036,-1.4304287835875893,0.62032696952257,0.6688921927519309,-0.1013743395807232,0.38888888888888
Bernd Leno,Arsenal,26,Germany,2018/2019,22000000,30000000,Goalkeeper,eng Premier League,32,31,2836.0,31.5,0.0710708423050229,0.7451668387264279,-0.3159293593550672,-0.2554831750399531,0.1612712880357457,0.5500000000000017
Bernd Leno,Arsenal,27,Germany,2019/2020,35000000,28000000,Goalkeeper,eng Premier League,30,30,2649.0,29.4,-0.2769598139599213,1.4588035330360518,0.1202115650705338,-0.4405099592998543,0.405317680445293,0.2000000000000052
Bernd Leno,Arsenal,28,Germany,2020/2021,32000000,22000000,Goalkeeper,eng Premier League,35,35,3131.0,34.8,0.0250263214752972,-0.2555397692232893,-0.8670752660729056,0.4294166005511351,-0.2355386652948831,0.399999999999998
Ciprian Tătărușanu,Nantes,31,Romania,2017/2018,4000000,4000000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,-0.3716417649858125,-0.2406050439946905,1.1607737717085975,0.62670855854116,0.2070775200637286,-0.1249999999999966
Ciprian Tătărușanu,Nantes,32,Romania,2018/2019,4000000,2500000,Goalkeeper,fr Ligue 1,27,27,2390.0,26.6,0.1399653966903589,-0.5424831212945941,0.746741701097562,0.0041983583527964,0.0324374357467917,9.143313306604365e-16
Ciprian Tătărușanu,Lyon,33,Romania,2019/2020,1500000,1200000,Goalkeeper,fr Ligue 1,2,2,180.0,2.0,0.8601909746512809,0.4130793490487021,0.0124322400035199,-0.0288572394788974,0.3584049899089113,0.5085615447161532
Ciprian Tătărușanu,Milan,34,Romania,2020/2021,700000,600000,Goalkeeper,it Serie A,1,1,90.0,1.0,-1.062551194306784,0.5485929083846555,-0.9472219255452956,-1.63659635069354,-0.5559252146324215,0.8250000000000074
David Ospina,Arsenal,28,Colombia,2017/2018,7000000,5000000,Goalkeeper,eng Premier League,5,4,381.0,4.2,0.6719561885977603,0.4611714868270382,-0.0114948947279217,0.772917606196386,0.4424629847863809,0.5750000000000041
David Ospina,Napoli,29,Colombia,2018/2019,5000000,4000000,Goalkeeper,it Serie A,17,16,1457.0,16.2,-0.1168795621352292,0.1218638705604421,-0.6001123414260937,-0.0271202136230891,-0.1406636532376393,0.95
