Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Marko Dmitrović,Eibar,28,Serbia,2020/2021,10000000,8000000,Goalkeeper,es La Liga,35,35,3120.0,34.7,-0.37326786820485,-1.517003189379819,1.0226566620588062,-0.41747430915738915,-0.431225064193056
Martin Dúbravka,Newcastle Utd,28,Slovakia,2017/2018,600000,4000000,Goalkeeper,eng Premier League,12,12,1080.0,12.0,-0.1906779374119687,-0.5238608042823383,0.016338945979127696,0.5863556666295284,-0.1389826793625994
Martin Dúbravka,Newcastle Utd,29,Slovakia,2018/2019,5000000,7000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.40567076604393937,-0.37993274742280314,0.35758085117717264,-0.21035902647828797,-0.17655279428641596
Martin Dúbravka,Newcastle Utd,30,Slovakia,2019/2020,7000000,5500000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.28172158738054465,1.1276136529528722,-0.4279739173633259,-0.7671345699780977,0.10217071685082292
Martin Dúbravka,Newcastle Utd,31,Slovakia,2020/2021,7500000,5000000,Goalkeeper,eng Premier League,13,13,1170.0,13.0,0.2603123619862857,0.4028315323314913,0.10291503075556398,-0.37956761169652825,0.17486274274700514
Marwin Hitz,Augsburg,29,Switzerland,2017/2018,4000000,4000000,Goalkeeper,de Bundesliga,32,32,2880.0,32.0,0.9500432260943367,0.9114172199390023,0.42120796620452267,-0.6578483355231062,0.5631315747248996
Marwin Hitz,Dortmund,30,Switzerland,2018/2019,3000000,2500000,Goalkeeper,de Bundesliga,2,2,180.0,2.0,0.6755038177055546,-0.7241289008302436,-1.700163166322686,-0.5346071913241545,-0.5898010311434913
Marwin Hitz,Dortmund,31,Switzerland,2019/2020,2500000,2000000,Goalkeeper,de Bundesliga,4,3,290.0,3.2,0.8554460474614325,0.7751437803488794,-0.478432326727846,1.611298484010684,0.607248525907107
Marwin Hitz,Dortmund,32,Switzerland,2020/2021,1700000,1700000,Goalkeeper,de Bundesliga,16,16,1395.0,15.5,0.5453027480326882,-0.5760864177895569,-0.5474898610725047,0.9339683183761722,-0.06208177672987325
Mathew Ryan,Brighton,25,Australia,2017/2018,3500000,8000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.17693372375007171,0.4372581519604683,0.7349242479379097,-0.6162936989369775,0.20009392939257675
Mathew Ryan,Brighton,26,Australia,2018/2019,8000000,10000000,Goalkeeper,eng Premier League,34,34,3060.0,34.0,-0.6559890550437015,-0.2376167384882678,-0.09314823401161006,-1.156715374579063,-0.44395748692158105
Mathew Ryan,Brighton,27,Australia,2019/2020,10000000,8000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.8906068983472784,0.3998766806852456,-0.643712429978482,-0.8752681935089649,0.0703902263056903
Mathew Ryan,Brighton,28,Australia,2020/2021,8000000,6000000,Goalkeeper,eng Premier League,11,11,990.0,11.0,-0.34624839375309246,-1.4548729357830408,-0.5817783053784352,-0.6345385432508244,-0.8363929837945698
