Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Alisson,Liverpool,27,Brazil,2020/2021,80000000,60000000,Goalkeeper,eng Premier League,33,33,2970.0,33.0,0.8051981039448679,-0.18655510481382095,0.6369830627951526,0.9402000584228526,0.4362810137635956
Alphonse Areola,Paris S-G,24,France,2017/2018,10000000,15000000,Goalkeeper,fr Ligue 1,34,34,3060.0,34.0,-0.11732688202029912,-0.47399904847363267,-0.10830069793102992,2.29173019491279,0.12145296728331478
Alphonse Areola,Paris S-G,25,France,2018/2019,15000000,17500000,Goalkeeper,fr Ligue 1,21,21,1890.0,21.0,-0.21946586873943846,0.2824403844686849,-0.7797696012325216,1.8021515803590178,0.1193680041249024
Alphonse Areola,Real Madrid,26,France,2019/2020,16000000,13000000,Goalkeeper,es La Liga,4,4,360.0,4.0,-0.07984583509872623,-0.4846273036924524,0.18068267126124093,0.6603673134405248,-0.04535525023565094
Alphonse Areola,Fulham,27,France,2020/2021,13000000,17000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,-0.24192953534521444,0.6289874709661684,0.4380124958987009,-0.2611887188721473,0.22998804714570842
Andrea Consigli,Sassuolo,30,Italy,2017/2018,8000000,5000000,Goalkeeper,it Serie A,37,37,3316.0,36.8,0.08812102922992973,-0.15101681161166114,1.2927743260806872,-0.6764888318475317,0.1908946299864431
Andrea Consigli,Sassuolo,31,Italy,2018/2019,5000000,4000000,Goalkeeper,it Serie A,36,36,3213.0,35.7,-0.08161605621684827,-0.9369390081613874,0.9581366035303575,-0.20872864217719733,-0.1401078123546879
Andrea Consigli,Sassuolo,32,Italy,2019/2020,3500000,2800000,Goalkeeper,it Serie A,31,31,2790.0,31.0,-0.4756470758044959,-0.5197562194054911,0.36914494454004326,-0.77852637444862,-0.32531916577532805
Andrea Consigli,Sassuolo,33,Italy,2020/2021,3000000,3000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.4246075027299877,0.44080517167090777,0.6084268979514539,-0.5010879900008761,0.33737721175504665
Andreas Luthe,Augsburg,30,Germany,2017/2018,500000,500000,Goalkeeper,de Bundesliga,2,2,180.0,2.0,0.27626902085128713,-0.5154870247948896,0.06005207892018581,-1.901784656639436,-0.3816078822312585
Andreas Luthe,Augsburg,31,Germany,2018/2019,1000000,700000,Goalkeeper,de Bundesliga,15,14,1311.0,14.6,0.8368409851481373,0.842487384992517,-0.4957118172592658,-0.9854265408223114,0.2323388955962521
Andreas Luthe,Augsburg,32,Germany,2019/2020,500000,400000,Goalkeeper,de Bundesliga,10,10,900.0,10.0,0.810349123575654,0.5489186750048836,-0.3780358822780263,-0.38868853733265724,0.24189656597621761
Andreas Luthe,Union Berlin,33,Germany,2020/2021,900000,900000,Goalkeeper,de Bundesliga,31,31,2768.0,30.8,0.002363532255521328,-0.07845246025345619,-0.03143799928950271,-0.5474487945944384,-0.11684429703637077
Andrés Fernández,Villarreal,30,Spain,2017/2018,1500000,800000,Goalkeeper,es La Liga,3,3,225.0,2.5,-1.0034052180499513,0.1906545233991952,-0.6429429701988513,-2.154071017457957,-0.6679686164911759
Andrés Fernández,Villarreal,31,Spain,2018/2019,800000,1500000,Goalkeeper,es La Liga,6,6,540.0,6.0,0.37023501018562593,0.3417779217554387,0.23487263829304258,0.24253362176017246,0.30727922799809654
Andrés Fernández,Villarreal,32,Spain,2019/2020,1000000,800000,Goalkeeper,es La Liga,4,4,360.0,4.0,-0.6627794879557418,-0.11451280531167661,0.5412190271865274,-0.5133428093924559,-0.14747101846025878
Andrés Fernández,Huesca,33,Spain,2020/2021,600000,600000,Goalkeeper,es La Liga,16,16,1440.0,16.0,-0.4211998478033625,-0.8128653452270027,-0.3121271382608847,-0.3943182450248781,-0.5269823540992444
Anthony Lopes,Lyon,26,Portugal,2017/2018,14000000,20000000,Goalkeeper,fr Ligue 1,34,34,3060.0,34.0,-0.23752331967047371,0.3215923091240794,0.8619985236534775,1.0411350856447998,0.4248463720358987
Anthony Lopes,Lyon,27,Portugal,2018/2019,20000000,25000000,Goalkeeper,fr Ligue 1,34,34,3060.0,34.0,0.269244912685556,0.12239473682890671,-0.8564910675906172,0.03906133487234279,-0.09811418060529654
Anthony Lopes,Lyon,28,Portugal,2019/2020,22000000,17500000,Goalkeeper,fr Ligue 1,26,26,2340.0,26.0,0.3294729881807946,0.09305701641684136,-0.846432074211586,0.2821131811957957,-0.05435283858243401
Anthony Lopes,Lyon,29,Portugal,2020/2021,19000000,14000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,0.42544486832515815,-0.5700751792576272,0.14512183394496217,0.6366791286663329,0.03861723212731052
Antonio Mirante,Bologna,34,Italy,2017/2018,2000000,1000000,Goalkeeper,it Serie A,33,33,2970.0,33.0,0.9015905948481063,-0.0945197379096979,0.6371507834949802,-1.0121734348735882,0.1997774210863391
Antonio Mirante,Roma,35,Italy,2018/2019,800000,800000,Goalkeeper,it Serie A,11,11,990.0,11.0,0.348939750290679,1.3078560341733898,-0.31278549636458153,1.1370050741599977,0.6373389365662104
Antonio Mirante,Roma,36,Italy,2019/2020,800000,650000,Goalkeeper,it Serie A,5,5,450.0,5.0,0.40702648963408083,0.8598671681618858,-0.08188649107731842,-0.09173221884032244,0.3684786756698022
Antonio Mirante,Roma,37,Italy,2020/2021,650000,1000000,Goalkeeper,it Serie A,13,13,1153.0,12.8,0.12479951094226355,-0.7247111973440163,0.6366256412550946,0.22804355943632326,-0.029086097105617707
Baptiste Reynet,Dijon,26,France,2017/2018,3000000,5000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,0.4665611436064273,0.07878947853675135,2.0702163204500645,-1.350034864176677,0.45926545387548434
Baptiste Reynet,Toulouse,27,France,2018/2019,5000000,5000000,Goalkeeper,fr Ligue 1,31,31,2704.0,30.0,0.17172781838609513,-0.013019743053181126,1.1435108632750628,-1.0490580967329466,0.16689404583673412
Baptiste Reynet,Toulouse,28,France,2019/2020,4000000,2400000,Goalkeeper,fr Ligue 1,23,22,2035.0,22.6,0.2977270500390822,-1.1739754165170633,1.1530402282379821,-1.883936408970908,-0.3307900375573422
Baptiste Reynet,Nîmes,29,France,2020/2021,2500000,2000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,0.4160450347000002,-0.20094136574200025,0.7841470396754578,-1.4431910349698445,0.013239885338687751
Bartłomiej Drągowski,Fiorentina,19,Poland,2017/2018,3000000,2000000,Goalkeeper,it Serie A,3,1,217.0,2.4,-0.5682671084059501,0.057055779344260864,-1.6822793596233427,-2.7925435777869168,-0.9615486309048694
Bartłomiej Drągowski,Empoli,20,Poland,2018/2019,1500000,10000000,Goalkeeper,it Serie A,14,14,1260.0,14.0,0.09920379165728038,1.658088114590921,1.250668227611586,-0.983482768051061,0.7702764297163797
Bartłomiej Drągowski,Fiorentina,21,Poland,2019/2020,14000000,11000000,Goalkeeper,it Serie A,31,31,2790.0,31.0,-0.7146029004645053,0.0517562598636342,0.3653708842071396,-0.4488475212584867,-0.13652044130084245
Bartłomiej Drągowski,Fiorentina,22,Poland,2020/2021,15000000,16000000,Goalkeeper,it Serie A,36,36,3148.0,35.0,-0.7413158809269277,-1.0877972284409068,0.6244138271657114,-0.441836059109222,-0.47622995226100473
Benjamin Lecomte,Montpellier,26,France,2017/2018,2500000,6000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.592089515003399,0.32231312623006,0.5529811250819955,0.7090451424101307,0.20938926806168973
Benjamin Lecomte,Montpellier,27,France,2018/2019,8000000,17000000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,0.2273717076676804,-0.22710072155254163,0.9430345989940493,0.12201829299643109,0.2314190680715075
Benjamin Lecomte,Monaco,28,France,2019/2020,14000000,11000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,0.0680064067336309,0.4231361004949866,0.41993733078182743,-0.6496637838413964,0.1726340019759004
Benjamin Lecomte,Monaco,29,France,2020/2021,11000000,10000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,0.2600296655252353,-2.0685173764513345,-0.21531033694417054,1.2965655572406092,-0.5183164160266095
Benoît Costil,Bordeaux,30,France,2017/2018,7500000,6500000,Goalkeeper,fr Ligue 1,36,36,3240.0,36.0,-0.6089697652525796,-1.2937850646113653,1.197971907629987,0.5204498532107338,-0.22750675903801587
Benoît Costil,Bordeaux,31,France,2018/2019,6500000,5500000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,-0.21477589313607734,0.44486160696482735,0.09022906622202433,-0.28822016892980734,0.0813318303697052
Benoît Costil,Bordeaux,32,France,2019/2020,5000000,4000000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,-0.07733868301731849,-0.3791880431130267,0.4111262666029839,-0.12750364163632283,-0.06839446543859139
Benoît Costil,Bordeaux,33,France,2020/2021,3500000,2800000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.10946820597553744,-0.6318922274907209,0.4033032014272368,-0.2638528473958149,-0.18728145786819972
Bernd Leno,Leverkusen,25,Germany,2017/2018,16000000,20000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.5754406535260036,-1.4304287835875893,0.62032696952257,0.6688921927519309,-0.1013743395807232
Bernd Leno,Arsenal,26,Germany,2018/2019,22000000,30000000,Goalkeeper,eng Premier League,32,31,2836.0,31.5,0.07107084230502292,0.7451668387264279,-0.3159293593550672,-0.25548317503995316,0.16127128803574572
Bernd Leno,Arsenal,27,Germany,2019/2020,35000000,28000000,Goalkeeper,eng Premier League,30,30,2649.0,29.4,-0.27695981395992136,1.4588035330360518,0.12021156507053384,-0.44050995929985437,0.40531768044529304
Bernd Leno,Arsenal,28,Germany,2020/2021,32000000,22000000,Goalkeeper,eng Premier League,35,35,3131.0,34.8,0.02502632147529721,-0.25553976922328936,-0.8670752660729056,0.4294166005511351,-0.2355386652948831
Ciprian Tătărușanu,Nantes,31,Romania,2017/2018,4000000,4000000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,-0.3716417649858125,-0.24060504399469057,1.1607737717085977,0.62670855854116,0.2070775200637286
Ciprian Tătărușanu,Nantes,32,Romania,2018/2019,4000000,2500000,Goalkeeper,fr Ligue 1,27,27,2390.0,26.6,0.1399653966903589,-0.5424831212945941,0.746741701097562,0.004198358352796407,0.032437435746791754
Ciprian Tătărușanu,Lyon,33,Romania,2019/2020,1500000,1200000,Goalkeeper,fr Ligue 1,2,2,180.0,2.0,0.8601909746512809,0.4130793490487021,0.012432240003519921,-0.028857239478897418,0.35840498990891134
Ciprian Tătărușanu,Milan,34,Romania,2020/2021,700000,600000,Goalkeeper,it Serie A,1,1,90.0,1.0,-1.062551194306784,0.5485929083846555,-0.9472219255452955,-1.63659635069354,-0.5559252146324215
David Ospina,Arsenal,28,Colombia,2017/2018,7000000,5000000,Goalkeeper,eng Premier League,5,4,381.0,4.2,0.6719561885977603,0.46117148682703824,-0.011494894727921725,0.772917606196386,0.44246298478638096
David Ospina,Napoli,29,Colombia,2018/2019,5000000,4000000,Goalkeeper,it Serie A,17,16,1457.0,16.2,-0.11687956213522929,0.12186387056044212,-0.6001123414260937,-0.02712021362308917,-0.14066365323763938
David Ospina,Napoli,30,Colombia,2019/2020,3500000,2800000,Goalkeeper,it Serie A,17,17,1469.0,16.3,0.07968745889350462,-0.1747602349673192,-0.7574777351520257,0.5229351364836785,-0.1521733808306402
David Ospina,Napoli,31,Colombia,2020/2021,4000000,5000000,Goalkeeper,it Serie A,16,16,1440.0,16.0,0.03354388460894986,-0.41940986448980955,0.02004163442197435,1.4019433231230254,0.07689442565475152
David Soria,Sevilla,24,Spain,2017/2018,1500000,4000000,Goalkeeper,es La Liga,15,15,1263.0,14.0,-0.7075066281907083,-0.23943570035076583,0.16389667204291808,0.3312940302870912,-0.17001087961665196
David Soria,Getafe,25,Spain,2018/2019,3000000,15000000,Goalkeeper,es La Liga,37,37,3330.0,37.0,-0.9243321373158904,0.22459846879838594,1.1310482404477453,0.5620617281630457,0.2145977490868557
David Soria,Getafe,26,Spain,2019/2020,18000000,14500000,Goalkeeper,es La Liga,38,38,3420.0,38.0,-0.8113496365771463,-1.6515480424964488,1.5237406065387809,0.8720707246748378,-0.26913346368212276
David Soria,Getafe,27,Spain,2020/2021,15000000,9000000,Goalkeeper,es La Liga,28,28,2520.0,28.0,-0.7197621509634298,-1.8639132835774366,1.6432852454994011,0.38601687100858745,-0.36358634496682174
David de Gea,Manchester Utd,26,Spain,2017/2018,40000000,70000000,Goalkeeper,eng Premier League,37,37,3330.0,37.0,-0.19541039480981795,1.3276131262611306,-0.3414690613093436,1.174364696006193,0.5065994345625342
David de Gea,Manchester Utd,27,Spain,2018/2019,70000000,65000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.09500356855076128,0.3885571694805429,-0.2788830502576041,-0.5782751637145714,-0.044217919941087064
David de Gea,Manchester Utd,28,Spain,2019/2020,60000000,40000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.6116304873537102,-0.009622506487801953,-1.2101766803624938,0.8239720467433825,-0.33522386218827427
David de Gea,Manchester Utd,29,Spain,2020/2021,35000000,18000000,Goalkeeper,eng Premier League,26,26,2295.0,25.5,-0.8976688828257711,-0.6817178053343775,-1.1235123512828684,0.5303215175895527,-0.664348312755759
Ederson,Manchester City,23,Brazil,2017/2018,22000000,50000000,Goalkeeper,eng Premier League,36,36,3194.0,35.5,0.7081706057829852,-1.724738921995219,-0.8412406396605863,1.8365912533784914,-0.3614374431609532
Ederson,Manchester City,24,Brazil,2018/2019,60000000,70000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.013760793981854758,-0.6402732462335662,-0.949298793775855,2.312852001671946,-0.11105233587945634
Ederson,Manchester City,25,Brazil,2019/2020,70000000,56000000,Goalkeeper,eng Premier League,35,35,3071.0,34.1,0.6511955840129985,-0.9023976815696054,-0.3515531365893993,1.7797194854714966,0.02602934612726243
Ederson,Manchester City,26,Brazil,2020/2021,56000000,50000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,-0.21400454561976526,-0.667025722562046,-0.21890823951598928,1.933699320711549,-0.05163230107392236
Fernando Pacheco,Alavés,25,Spain,2017/2018,5000000,9000000,Goalkeeper,es La Liga,38,37,3360.0,37.3,-1.1465518130773718,0.9402254322439275,0.7340168452369472,-0.031302095702372086,0.22124984496991265
Fernando Pacheco,Alavés,26,Spain,2018/2019,12000000,15000000,Goalkeeper,es La Liga,35,35,3150.0,35.0,-0.3952451862058205,-0.117132350564926,0.6283317011792143,-0.5381121081244383,-0.0634415101730414
Fernando Pacheco,Alavés,27,Spain,2019/2020,18000000,14500000,Goalkeeper,es La Liga,27,27,2358.0,26.2,-0.8483600876647429,-0.7065343253852366,1.3803465709271803,-0.2749428139110901,-0.15553181515588696
Fernando Pacheco,Alavés,28,Spain,2020/2021,14000000,8000000,Goalkeeper,es La Liga,38,37,3349.0,37.2,-0.06913825612399477,-0.9099107544324545,-0.22740581026821763,-0.8051160345878704,-0.5133721858375927
Florian Müller,Mainz 05,19,Germany,2017/2018,275000,1000000,Goalkeeper,de Bundesliga,5,5,450.0,5.0,-0.41181911238627256,-0.5293508624300719,-0.815629342113777,-0.5974535922040126,-0.5817529543061395
Florian Müller,Mainz 05,20,Germany,2018/2019,4000000,10000000,Goalkeeper,de Bundesliga,24,24,2160.0,24.0,0.2376255553094437,-0.18423027787799082,-0.42935131586626746,-1.3059018970416798,-0.30829732195275467
Florian Müller,Mainz 05,21,Germany,2019/2020,6500000,2400000,Goalkeeper,de Bundesliga,13,12,1125.0,12.5,0.3027537372945311,-0.5683862901536741,0.9740533779012387,-1.2378816472182035,-0.065415669837574
Florian Müller,Freiburg,22,Germany,2020/2021,4000000,8000000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,0.4868334434274431,0.5145371391217478,0.24847094080847246,-0.8987715071351293,0.2290983686813212
Gerónimo Rulli,Real Sociedad,25,Argentina,2017/2018,14000000,10000000,Goalkeeper,es La Liga,26,26,2340.0,26.0,0.2598943377769063,-1.3067370748872034,0.5963338837591596,-0.5683367016104637,-0.3285514260680742
Gerónimo Rulli,Real Sociedad,26,Argentina,2018/2019,6000000,10000000,Goalkeeper,es La Liga,27,27,2430.0,27.0,0.6751996378576492,-0.4223734768304727,1.3671832920377278,-0.23291159376653248,0.327828276518199
Gerónimo Rulli,Montpellier,27,Argentina,2019/2020,10000000,8000000,Goalkeeper,fr Ligue 1,25,25,2250.0,25.0,0.9971061418299406,0.5001634026373701,2.2230068357537243,0.39328000463565155,1.0390774360143435
Gerónimo Rulli,Villarreal,28,Argentina,2020/2021,5000000,4000000,Goalkeeper,es La Liga,2,2,180.0,2.0,0.6948942534613348,0.5670405453217268,-3.2470693254452225,-2.7039448627570537,-0.8451713065469256
Gianluca Pegolo,Sassuolo,36,Italy,2017/2018,200000,150000,Goalkeeper,it Serie A,2,1,104.0,1.2,-0.39344087509744863,1.7955248010136324,-3.0783925378686146,-1.6366103896339512,-0.4850162313318372
Gianluca Pegolo,Sassuolo,37,Italy,2018/2019,150000,150000,Goalkeeper,it Serie A,3,2,203.0,2.3,-0.06302154983576713,0.7099025040704832,-2.6301731274255253,-2.2223770172625943,-0.7581893454800431
Gianluca Pegolo,Sassuolo,38,Italy,2019/2020,150000,150000,Goalkeeper,it Serie A,5,5,450.0,5.0,0.10273633673042354,2.2829823052529346,-1.2960503256377394,0.3220782228972892,0.5490270430462915
Gianluca Pegolo,Sassuolo,39,Italy,2020/2021,150000,100000,Goalkeeper,it Serie A,1,1,90.0,1.0,-0.8541666338004812,0.2853330663855711,-2.5685441474161093,1.264343640377943,-0.5661595760125063
Gianluigi Buffon,Juventus,39,Italy,2017/2018,2000000,2000000,Goalkeeper,it Serie A,21,21,1862.0,20.7,-0.2151552850846026,0.10292959913399072,0.6301850438811816,2.118912488350506,0.4576196726486174
Gianluigi Buffon,Paris S-G,40,Italy,2018/2019,1000000,1000000,Goalkeeper,fr Ligue 1,17,17,1530.0,17.0,0.22213429616489178,0.039104325869656884,-1.421701439000773,1.093337167368562,-0.12220469654930607
Gianluigi Buffon,Juventus,41,Italy,2019/2020,1000000,1000000,Goalkeeper,it Serie A,9,9,810.0,9.0,0.03541263775727502,-0.3590080507655411,-1.1400857864114637,0.7262600623962533,-0.2928820955720486
Gianluigi Buffon,Juventus,42,Italy,2020/2021,1000000,1000000,Goalkeeper,it Serie A,8,8,720.0,8.0,0.09866294354164734,-0.6680236937332636,0.6018438845820913,1.6936816818214049,0.19537066649750312
Gianluigi Donnarumma,Milan,18,Italy,2017/2018,25000000,40000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,-0.02098543524736876,-0.27506127452656925,-0.8591259676933528,0.36413536850522504,-0.2616789915436959
Gianluigi Donnarumma,Milan,19,Italy,2018/2019,40000000,55000000,Goalkeeper,it Serie A,36,36,3090.0,34.3,0.44273802122123396,0.6296635110203805,0.4924926751591447,0.6894815657744092,0.5576121378183893
Gianluigi Donnarumma,Milan,20,Italy,2019/2020,55000000,49500000,Goalkeeper,it Serie A,36,36,3201.0,35.6,0.06575707616243863,0.052453085253621086,1.1051641582451819,0.5433940939104401,0.39259800252723853
Gianluigi Donnarumma,Milan,21,Italy,2020/2021,60000000,65000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.23813348270432202,-0.34402427667361146,0.7913502872547561,1.0296133665164926,0.2914044506314794
Hugo Lloris,Tottenham,30,France,2017/2018,24000000,25000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,0.4941208031113851,-0.6599554173077077,0.9875546264019714,1.1007124425109358,0.3045413276972818
Hugo Lloris,Tottenham,31,France,2018/2019,30000000,25000000,Goalkeeper,eng Premier League,33,33,2970.0,33.0,0.5809722896357131,0.9980282325786256,-0.04539099318167385,0.7293112719093493,0.5926018963024312
Hugo Lloris,Tottenham,32,France,2019/2020,18000000,14500000,Goalkeeper,eng Premier League,21,21,1807.0,20.1,-0.22804046239947864,1.8886207152670742,0.49416885397078175,0.4574139652207332,0.7961614430194117
Hugo Lloris,Tottenham,33,France,2020/2021,12000000,9000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.7878725281699648,0.4859683078467979,-0.2555423023182951,0.3832345629862444,-0.033279615427749064
Jan Oblak,Atlético Madrid,24,Slovenia,2017/2018,40000000,70000000,Goalkeeper,es La Liga,37,37,3330.0,37.0,-1.2527910268630411,1.1715745523260206,1.0802042227051956,2.182317308635694,0.6942519885699998
Jan Oblak,Atlético Madrid,25,Slovenia,2018/2019,80000000,100000000,Goalkeeper,es La Liga,37,37,3330.0,37.0,-0.9188422171052623,1.1628123364146747,0.6404910673343046,1.708140388284913,0.5936175885451337
Jan Oblak,Atlético Madrid,26,Slovenia,2019/2020,100000000,80000000,Goalkeeper,es La Liga,38,38,3395.0,37.7,-0.7306238703673914,-0.29757418076535647,-0.09104399111048965,1.3934549526604767,-0.10054968573827355
Jan Oblak,Atlético Madrid,27,Slovenia,2020/2021,90000000,70000000,Goalkeeper,es La Liga,38,38,3420.0,38.0,-0.4660552506267106,0.6912842161345357,0.7027364496515591,1.7758502282761208,0.5674973096447178
Jasper Cillessen,Barcelona,28,Netherlands,2017/2018,9000000,9000000,Goalkeeper,es La Liga,1,1,90.0,1.0,0.3002149013218476,1.423040820188853,-0.5096119397261071,0.8629444457540417,0.5751566943281399
Jasper Cillessen,Barcelona,29,Netherlands,2018/2019,20000000,18000000,Goalkeeper,es La Liga,3,3,270.0,3.0,0.482670940163682,-0.015244214415339467,-0.2347804987625664,-0.2725095152564725,0.015760708016439216
Jasper Cillessen,Valencia,30,Netherlands,2019/2020,18000000,14500000,Goalkeeper,es La Liga,24,24,2096.0,23.3,-0.764398386088782,0.26913534922053217,1.5403843190467255,-0.1089133667260597,0.2718568504577632
Jasper Cillessen,Valencia,31,Netherlands,2020/2021,12000000,5000000,Goalkeeper,es La Liga,10,10,900.0,10.0,-0.23021802697096985,0.50542760753732,0.5433083983957063,0.08088033357613235,0.267304305530666
Jaume Doménech,Valencia,26,Spain,2017/2018,2500000,2500000,Goalkeeper,es La Liga,5,5,450.0,5.0,-0.11449467105404598,0.8022875546149414,-0.2602040404993108,0.6925065617610161,0.2910019504910427
Jaume Doménech,Valencia,27,Spain,2018/2019,2500000,2500000,Goalkeeper,es La Liga,4,4,360.0,4.0,-0.2074340433812225,0.74061421353918,-0.445892848725676,1.1405485157795234,0.26696552907891685
Jaume Doménech,Valencia,28,Spain,2019/2020,7500000,6000000,Goalkeeper,es La Liga,15,14,1324.0,14.7,-0.025928032336118817,0.7351943253677874,-0.18355254172805918,-0.9540590603862334,0.061839011304746005
Jaume Doménech,Valencia,29,Spain,2020/2021,6000000,4000000,Goalkeeper,es La Liga,28,28,2520.0,28.0,-0.032392036183697986,0.02794644371230461,0.5924083844190068,-1.0366148341460713,-0.0057068827637768715
Jessy Moulin,Saint-Étienne,31,France,2017/2018,250000,250000,Goalkeeper,fr Ligue 1,4,3,305.0,3.4,-0.60358901071382,2.915389898605766,0.12644164200315228,-1.235562357119163,0.7157652687664766
Jessy Moulin,Saint-Étienne,32,France,2018/2019,250000,250000,Goalkeeper,fr Ligue 1,1,1,90.0,1.0,0.8864138283938996,4.0594616239007575,-3.365736405295062,-1.5039316498971538,0.5753911766554014
Jessy Moulin,Saint-Étienne,33,France,2019/2020,250000,250000,Goalkeeper,fr Ligue 1,5,5,450.0,5.0,-0.5106982501584783,2.2101780131975888,-0.10400379349611281,0.4288952611722991,0.684221082881353
Jessy Moulin,Saint-Étienne,34,France,2020/2021,500000,600000,Goalkeeper,fr Ligue 1,29,29,2610.0,29.0,-0.27595767230368107,-0.8289531071990672,-0.9529702404256891,-0.3682660881896439,-0.6526054789304626
Jiří Pavlenka,Werder Bremen,25,Czech Republic,2017/2018,1500000,10000000,Goalkeeper,de Bundesliga,34,34,3060.0,34.0,0.2188140099660441,1.25129606245695,0.4885243879242344,-0.4166621606142655,0.5522888972403623
Jiří Pavlenka,Werder Bremen,26,Czech Republic,2018/2019,10000000,12000000,Goalkeeper,de Bundesliga,34,34,2977.0,33.1,0.6349188543967755,0.6153083554728237,-0.6330519318423654,-1.0684260814012305,0.05556074284390622
Jiří Pavlenka,Werder Bremen,27,Czech Republic,2019/2020,10000000,6500000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.5818315561699976,-0.39824274541324295,-0.9139183507995404,-2.0050121016331075,-0.5231584747969868
Jiří Pavlenka,Werder Bremen,28,Czech Republic,2020/2021,6500000,5500000,Goalkeeper,de Bundesliga,34,34,3060.0,34.0,0.16175289042285365,-0.5489230442085364,0.30046525377704736,-1.0486439403758254,-0.2338651204793863
Jordan Pickford,Everton,23,England,2017/2018,15000000,30000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.3393098750607284,-0.360880745527321,1.0548725783064736,-0.5907017034838788,-0.03602284064570786
Jordan Pickford,Everton,24,England,2018/2019,35000000,40000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.23536069537210155,-0.9176838743589172,0.8403824874464838,0.32306332770930574,-0.12147440885062954
Jordan Pickford,Everton,25,England,2019/2020,35000000,28000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.006835004807742517,-0.8344589490557787,-0.3807535199384009,-0.665540942378801,-0.4853714023090072
Jordan Pickford,Everton,26,England,2020/2021,26000000,25000000,Goalkeeper,eng Premier League,31,31,2742.0,30.5,0.13461751620963486,0.07269753919153268,0.2825201751837195,-0.21049509781596135,0.09815429689298084
Kasper Schmeichel,Leicester City,30,Denmark,2017/2018,10000000,10000000,Goalkeeper,eng Premier League,33,33,2965.0,32.9,0.10283609201723137,-1.0903150406314441,1.9021754065006606,-0.28129340538463665,0.07744859960077208
Kasper Schmeichel,Leicester City,31,Denmark,2018/2019,12000000,12000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.13644978870832408,-0.27504866973566167,-0.009259345978714334,-0.3578832552857155,-0.11815191201793646
Kasper Schmeichel,Leicester City,32,Denmark,2019/2020,12000000,9500000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.12274262359375171,-0.2166228782980998,0.22628992282295265,0.6631663315798032,0.04954376713993578
Kasper Schmeichel,Leicester City,33,Denmark,2020/2021,8000000,6000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.004206517139792254,-0.5216884775317868,-0.6477104286050289,-0.030000426705219012,-0.3479670090082174
Kepa Arrizabalaga,Athletic Club,22,Spain,2017/2018,8000000,20000000,Goalkeeper,es La Liga,30,30,2700.0,30.0,-0.09399353469830908,0.25422103896839704,0.9053118384357528,-0.7434964940386486,0.1802824654675026
Kepa Arrizabalaga,Chelsea,23,Spain,2018/2019,40000000,60000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,0.6568844785362998,-0.5232831782468546,-1.1001733710837969,0.6117341099387253,-0.20221121903246458
Kepa Arrizabalaga,Chelsea,24,Spain,2019/2020,60000000,32000000,Goalkeeper,eng Premier League,33,33,2970.0,33.0,0.440098237259602,-1.6750997217350945,-1.397658513451691,-0.07926021029819051,-0.8375640032000339
Kepa Arrizabalaga,Chelsea,25,Spain,2020/2021,28000000,13000000,Goalkeeper,eng Premier League,7,6,585.0,6.5,0.2837458197755941,-0.4624860546510528,-0.22109547820855527,-0.2121909779122901,-0.17803618042295227
Kevin Trapp,Paris S-G,27,Germany,2017/2018,10000000,8000000,Goalkeeper,fr Ligue 1,4,4,360.0,4.0,-1.397362810546485,2.4176659013328736,-1.4693959429223358,0.7011135624327258,0.23466041146420935
