Player,Team,Age,Season,MV1,MV2,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Delta_MV,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Comp_eng Premier League,Comp_es La Liga,Comp_fr Ligue 1,Comp_it Serie A,Nationality_France,Nationality_Germany,Nationality_Italy,Nationality_Other,Nationality_Spain,Position_Central Midfielder,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfielder,Position_Goalkeeper,Position_Wing-Back,Position_Winger
Alessandro Florenzi,Roma,0.22352799113878521,2018/2019,30.0,25.0,0.5121846149198995,24,0.46196418301816056,24.2,-0.1335914560780516,0.3623779782954439,-0.5251499936312192,-16.666666666666664,1.0500360248087186,3.2188758248682006,-0.1823215567939549,27,-0.14027584148860583,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Alessandro Florenzi,Roma,0.4815510426384938,2019/2020,20.0,16.0,-1.083828543588138,12,-0.8710852352211095,11.1,-0.9197041360530795,0.6573147370232315,-0.5251499936312192,-20.0,0.7267234705924528,2.772588722239781,-0.2231435513142097,28,-0.6683705816707274,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Alessandro Florenzi,Paris SG,0.7395740941382024,2020/2021,10.0,13.0,-0.33902240295105385,18,-0.2614658478437256,17.1,-0.3591506143261035,1.837061771934364,-0.5251499936312192,30.0,0.1740170085240678,2.5649493574615367,0.26236426446749084,29,-0.062498315514609735,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Alex Sandro,Juventus,-0.0344950603609234,2017/2018,35.0,45.0,0.19298198321829202,23,0.39097338559713435,23.5,1.922527560175477,1.984530151298269,0.8868112183115034,28.57142857142857,1.172953753196408,3.8066624897703196,0.2513144282809061,26,2.2550359173313588,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alex Sandro,Juventus,0.22352799113878521,2018/2019,50.0,45.0,0.7249863693876378,28,0.6952196602586752,26.5,1.0732992457521346,1.1734540647968477,0.8868112183115034,-10.0,1.4573616710264476,3.8066624897703196,-0.10536051565782634,27,1.5641851823007569,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alex Sandro,Juventus,0.4815510426384938,2019/2020,50.0,40.0,0.5121846149198995,27,0.6929659841500713,26.5,0.8990754522677751,0.9153844009100409,0.8868112183115034,-20.0,1.4573616710264476,3.6888794541139363,-0.2231435513142097,28,1.310278103495824,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alex Sandro,Juventus,0.7395740941382024,2020/2021,35.0,20.0,0.19298198321829202,20,0.09912232953291546,20.6,1.8430625843545592,1.136586969955885,0.8868112183115034,-42.857142857142854,1.172953753196408,2.995732273553991,-0.5596157879354227,29,2.1618271756945515,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alfonso Pedraza,Alaves,-1.3246103178594664,2017/2018,1.0,5.0,0.9377881238553762,27,0.7549420771366815,27.1,-1.4702946781600235,-0.6699006772517961,-0.5967941862443882,400.0,-1.6620341160466978,1.6094379124341003,1.6094379124341003,21,2.4436799157438585,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alfonso Pedraza,Villarreal,-1.0665872663597578,2018/2019,7.5,22.0,1.0441890010892454,22,0.36618294840249027,23.3,-0.6743096527154175,-0.4118310133649849,-0.5967941862443882,193.33333333333334,-0.055376899328052225,3.091042453358316,1.0761394328160514,22,0.03734117775435553,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alfonso Pedraza,Betis,-0.8085642148600493,2019/2020,17.5,9.5,-0.33902240295105385,15,-0.47443824010680424,15.0,-0.18507557223207652,-0.7436348669337446,-0.5967941862443882,-45.714285714285715,0.6202472911280231,2.2512917986064953,-0.6109090823229733,23,-0.11479262233091424,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
